Attractor #,Associated Cell Fate,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1,
1,,0.082584,0,0,0,0,0,0,0,0,0,0,0,
2,,0.00011094,0,0,0,0,0,0,0,0,0,0,1,
3,,8.187e-05,0,0,0,0,0,0,0,0,0,1,0,
4,,1.7267e-07,0,0,0,0,0,0,0,0,0,1,1,
5,,0.077631,0,0,0,0,0,0,0,0,1,0,0,
6,,7.7865e-05,0,0,0,0,0,0,0,0,1,0,1,
7,,3.6563e-06,0,0,0,0,0,0,0,0,1,1,0,
8,,3.7688e-09,0,0,0,0,0,0,0,0,1,1,1,
9,,8.2202e-05,0,0,0,0,0,0,0,1,0,0,0,
10,,5.7872e-05,0,0,0,0,0,0,0,1,0,0,1,
11,,8.5864e-08,0,0,0,0,0,0,0,1,0,1,0,
12,,8.2044e-05,0,0,0,0,0,0,0,1,0,1,1,
13,,3.695e-06,0,0,0,0,0,0,0,1,1,0,0,
14,,6.488e-09,0,0,0,0,0,0,0,1,1,0,1,
15,,3.2386e-10,0,0,0,0,0,0,0,1,1,1,0,
16,,3.7949e-09,0,0,0,0,0,0,0,1,1,1,1,
17,,8.2667e-05,0,0,0,0,0,0,1,0,0,0,0,
18,,7.6287e-06,0,0,0,0,0,0,1,0,0,0,1,
19,,9.0997e-08,0,0,0,0,0,0,1,0,0,1,0,
20,,8.2963e-05,0,0,0,0,0,0,1,0,0,1,1,
21,,7.772e-05,0,0,0,0,0,0,1,0,1,0,0,
22,,0.00011508,0,0,0,0,0,0,1,0,1,0,1,
23,,6.0284e-09,0,0,0,0,0,0,1,0,1,1,0,
24,,2.1749e-06,0,0,0,0,0,0,1,0,1,1,1,
25,,8.2285e-08,0,0,0,0,0,0,1,1,0,0,0,
26,,6.5412e-08,0,0,0,0,0,0,1,1,0,0,1,
27,,1.2753e-08,0,0,0,0,0,0,1,1,0,1,0,
28,,0.00027958,0,0,0,0,0,0,1,1,0,1,1,
29,,3.6991e-09,0,0,0,0,0,0,1,1,1,0,0,
30,,5.1297e-09,0,0,0,0,0,0,1,1,1,0,1,
31,,6.331e-13,0,0,0,0,0,0,1,1,1,1,0,
32,,9.2053e-10,0,0,0,0,0,0,1,1,1,1,1,
33,,8.2982e-05,0,0,0,0,0,1,0,0,0,0,0,
34,,1.9328e-07,0,0,0,0,0,1,0,0,0,0,1,
35,,8.7101e-08,0,0,0,0,0,1,0,0,0,1,0,
36,,9.4797e-08,0,0,0,0,0,1,0,0,0,1,1,
37,,7.7891e-05,0,0,0,0,0,1,0,0,1,0,0,
38,,1.8466e-07,0,0,0,0,0,1,0,0,1,0,1,
39,,3.6903e-09,0,0,0,0,0,1,0,0,1,1,0,
40,,9.4011e-08,0,0,0,0,0,1,0,0,1,1,1,
41,,8.2298e-08,0,0,0,0,0,1,0,1,0,0,0,
42,,5.8073e-08,0,0,0,0,0,1,0,1,0,0,1,
43,,9.4103e-11,0,0,0,0,0,1,0,1,0,1,0,
44,,9.5416e-08,0,0,0,0,0,1,0,1,0,1,1,
45,,3.6172e-09,0,0,0,0,0,1,0,1,1,0,0,
46,,7.5373e-12,0,0,0,0,0,1,0,1,1,0,1,
47,,2.6412e-13,0,0,0,0,0,1,0,1,1,1,0,
48,,1.8907e-11,0,0,0,0,0,1,0,1,1,1,1,
49,,0.00011508,0,0,0,0,0,1,1,0,0,0,0,
50,,4.1531e-07,0,0,0,0,0,1,1,0,0,0,1,
51,,0.0001108,0,0,0,0,0,1,1,0,0,1,0,
52,M phase,0.0020809,0,0,0,0,0,1,1,0,0,1,1,
53,,8.3041e-05,0,0,0,0,0,1,1,0,1,0,0,
54,M phase,0.0020673,0,0,0,0,0,1,1,0,1,0,1,
55,,2.4513e-06,0,0,0,0,0,1,1,0,1,1,0,
56,M phase,0.0020703,0,0,0,0,0,1,1,0,1,1,1,
57,,5.4199e-09,0,0,0,0,0,1,1,1,0,0,0,
58,,1.0905e-08,0,0,0,0,0,1,1,1,0,0,1,
59,,1.7955e-07,0,0,0,0,0,1,1,1,0,1,0,
60,,0.00029473,0,0,0,0,0,1,1,1,0,1,1,
61,,3.5622e-09,0,0,0,0,0,1,1,1,1,0,0,
62,,2.5229e-10,0,0,0,0,0,1,1,1,1,0,1,
63,,4.144e-10,0,0,0,0,0,1,1,1,1,1,0,
64,,3.3274e-07,0,0,0,0,0,1,1,1,1,1,1,
65,,0.058251,0,0,0,0,1,0,0,0,0,0,0,
66,,5.8311e-05,0,0,0,0,1,0,0,0,0,0,1,
67,,2.6983e-06,0,0,0,0,1,0,0,0,0,1,0,
68,,2.7051e-09,0,0,0,0,1,0,0,0,0,1,1,
69,Stationary G1 phase,0.53902,0,0,0,0,1,0,0,0,1,0,0,
70,,0.00053956,0,0,0,0,1,0,0,0,1,0,1,
71,,1.0024e-08,0,0,0,0,1,0,0,0,1,1,0,
72,,1.0136e-11,0,0,0,0,1,0,0,0,1,1,1,
73,,5.7938e-05,0,0,0,0,1,0,0,1,0,0,0,
74,,6.0617e-08,0,0,0,0,1,0,0,1,0,0,1,
75,,2.7077e-09,0,0,0,0,1,0,0,1,0,1,0,
76,,3.7185e-09,0,0,0,0,1,0,0,1,0,1,1,
77,,2.4661e-05,0,0,0,0,1,0,0,1,1,0,0,
78,,2.4686e-08,0,0,0,0,1,0,0,1,1,0,1,
79,,5.6407e-12,0,0,0,0,1,0,0,1,1,1,0,
80,,1.7793e-13,0,0,0,0,1,0,0,1,1,1,1,
81,,5.8312e-05,0,0,0,0,1,0,1,0,0,0,0,
82,,6.1512e-08,0,0,0,0,1,0,1,0,0,0,1,
83,,2.7089e-09,0,0,0,0,1,0,1,0,0,1,0,
84,,3.7459e-09,0,0,0,0,1,0,1,0,0,1,1,
85,,0.00053968,0,0,0,0,1,0,1,0,1,0,0,
86,,9.6234e-07,0,0,0,0,1,0,1,0,1,0,1,
87,,1.7987e-11,0,0,0,0,1,0,1,0,1,1,0,
88,,2.0831e-09,0,0,0,0,1,0,1,0,1,1,1,
89,,5.7998e-08,0,0,0,0,1,0,1,1,0,0,0,
90,,6.1145e-11,0,0,0,0,1,0,1,1,0,0,1,
91,,2.7195e-12,0,0,0,0,1,0,1,1,0,1,0,
92,,4.8392e-11,0,0,0,0,1,0,1,1,0,1,1,
93,,2.4688e-08,0,0,0,0,1,0,1,1,1,0,0,
94,,3.7801e-11,0,0,0,0,1,0,1,1,1,0,1,
95,,6.1182e-15,0,0,0,0,1,0,1,1,1,1,0,
96,,1.3134e-13,0,0,0,0,1,0,1,1,1,1,1,
97,,5.8405e-05,0,0,0,0,1,1,0,0,0,0,0,
98,,1.1618e-07,0,0,0,0,1,1,0,0,0,0,1,
99,,2.709e-09,0,0,0,0,1,1,0,0,0,1,0,
100,,1.0642e-11,0,0,0,0,1,1,0,0,0,1,1,
101,Excited G1 state,0.004259,0,0,0,0,1,1,0,0,1,0,0,
102,,4.3689e-06,0,0,0,0,1,1,0,0,1,0,1,
103,,9.0337e-09,0,0,0,0,1,1,0,0,1,1,0,
104,,1.0563e-10,0,0,0,0,1,1,0,0,1,1,1,
105,,5.8001e-08,0,0,0,0,1,1,0,1,0,0,0,
106,,2.0271e-10,0,0,0,0,1,1,0,1,0,0,1,
107,,2.7183e-12,0,0,0,0,1,1,0,1,0,1,0,
108,,4.3315e-12,0,0,0,0,1,1,0,1,0,1,1,
109,,3.8657e-08,0,0,0,0,1,1,0,1,1,0,0,
110,,1.8089e-10,0,0,0,0,1,1,0,1,1,0,1,
111,,4.0838e-13,0,0,0,0,1,1,0,1,1,1,0,
112,,1.1884e-14,0,0,0,0,1,1,0,1,1,1,1,
113,,5.8524e-05,0,0,0,0,1,1,1,0,0,0,0,
114,,6.7915e-09,0,0,0,0,1,1,1,0,0,0,1,
115,,1.6828e-07,0,0,0,0,1,1,1,0,0,1,0,
116,,1.1397e-07,0,0,0,0,1,1,1,0,0,1,1,
117,M phase,0.0027255,0,0,0,0,1,1,1,0,1,0,0,
118,,4.3695e-06,0,0,0,0,1,1,1,0,1,0,1,
119,,1.3371e-07,0,0,0,0,1,1,1,0,1,1,0,
120,,2.0717e-06,0,0,0,0,1,1,1,0,1,1,1,
121,,5.8089e-08,0,0,0,0,1,1,1,1,0,0,0,
122,,3.5188e-12,0,0,0,0,1,1,1,1,0,0,1,
123,,1.7181e-10,0,0,0,0,1,1,1,1,0,1,0,
124,,1.3347e-08,0,0,0,0,1,1,1,1,0,1,1,
125,,2.5213e-08,0,0,0,0,1,1,1,1,1,0,0,
126,,6.6118e-12,0,0,0,0,1,1,1,1,1,0,1,
127,,2.0579e-12,0,0,0,0,1,1,1,1,1,1,0,
128,,1.0507e-10,0,0,0,0,1,1,1,1,1,1,1,
129,,0.00019702,0,0,0,1,0,0,0,0,0,0,0,
130,,3.4059e-07,0,0,0,1,0,0,0,0,0,0,1,
131,,1.9637e-07,0,0,0,1,0,0,0,0,0,1,0,
132,,5.7131e-09,0,0,0,1,0,0,0,0,0,1,1,
133,,7.7795e-05,0,0,0,1,0,0,0,0,1,0,0,
134,,7.8488e-08,0,0,0,1,0,0,0,0,1,0,1,
135,,3.6694e-09,0,0,0,1,0,0,0,0,1,1,0,
136,,3.8132e-12,0,0,0,1,0,0,0,0,1,1,1,
137,,1.9784e-07,0,0,0,1,0,0,0,1,0,0,0,
138,,5.8241e-08,0,0,0,1,0,0,0,1,0,0,1,
139,,2.0688e-10,0,0,0,1,0,0,0,1,0,1,0,
140,,1.9962e-07,0,0,0,1,0,0,0,1,0,1,1,
141,,3.7086e-09,0,0,0,1,0,0,0,1,1,0,0,
142,,6.634e-12,0,0,0,1,0,0,0,1,1,0,1,
143,,3.3048e-13,0,0,0,1,0,0,0,1,1,1,0,
144,,3.872e-12,0,0,0,1,0,0,0,1,1,1,1,
145,,2.0244e-07,0,0,0,1,0,0,1,0,0,0,0,
146,,0.00011507,0,0,0,1,0,0,1,0,0,0,1,
147,,5.6358e-09,0,0,0,1,0,0,1,0,0,1,0,
148,,0.00011486,0,0,0,1,0,0,1,0,0,1,1,
149,,7.7905e-08,0,0,0,1,0,0,1,0,1,0,0,
150,,5.7313e-07,0,0,0,1,0,0,1,0,1,0,1,
151,,6.1475e-12,0,0,0,1,0,0,1,0,1,1,0,
152,,2.3192e-09,0,0,0,1,0,0,1,0,1,1,1,
153,,1.9843e-10,0,0,0,1,0,0,1,1,0,0,0,
154,,1.0208e-08,0,0,0,1,0,0,1,1,0,0,1,
155,,5.6372e-08,0,0,0,1,0,0,1,1,0,1,0,
156,M phase,0.0012431,0,0,0,1,0,0,1,1,0,1,1,
157,,3.7184e-12,0,0,0,1,0,0,1,1,1,0,0,
158,,1.3184e-10,0,0,0,1,0,0,1,1,1,0,1,
159,,9.9484e-16,0,0,0,1,0,0,1,1,1,1,0,
160,,6.6231e-11,0,0,0,1,0,0,1,1,1,1,1,
161,,3.1141e-07,0,0,0,1,0,1,0,0,0,0,0,
162,,5.4314e-10,0,0,0,1,0,1,0,0,0,0,1,
163,,2.1179e-10,0,0,0,1,0,1,0,0,0,1,0,
164,,8.1353e-11,0,0,0,1,0,1,0,0,0,1,1,
165,,7.923e-08,0,0,0,1,0,1,0,0,1,0,0,
166,,1.9042e-10,0,0,0,1,0,1,0,0,1,0,1,
167,,3.7598e-12,0,0,0,1,0,1,0,0,1,1,0,
168,,9.8489e-11,0,0,0,1,0,1,0,0,1,1,1,
169,,2.0301e-10,0,0,0,1,0,1,0,1,0,0,0,
170,,5.9823e-11,0,0,0,1,0,1,0,1,0,0,1,
171,,3.5497e-13,0,0,0,1,0,1,0,1,0,1,0,
172,,3.1727e-09,0,0,0,1,0,1,0,1,0,1,1,
173,,3.6833e-12,0,0,0,1,0,1,0,1,1,0,0,
174,,7.7497e-15,0,0,0,1,0,1,0,1,1,0,1,
175,,2.8008e-16,0,0,0,1,0,1,0,1,1,1,0,
176,,1.7462e-13,0,0,0,1,0,1,0,1,1,1,1,
177,,6.4926e-09,0,0,0,1,0,1,1,0,0,0,0,
178,,5.7581e-09,0,0,0,1,0,1,1,0,0,0,1,
179,,2.2573e-07,0,0,0,1,0,1,1,0,0,1,0,
180,,1.7776e-06,0,0,0,1,0,1,1,0,0,1,1,
181,,8.0586e-08,0,0,0,1,0,1,1,0,1,0,0,
182,,2.1633e-06,0,0,0,1,0,1,1,0,1,0,1,
183,,2.5563e-09,0,0,0,1,0,1,1,0,1,1,0,
184,,2.1689e-06,0,0,0,1,0,1,1,0,1,1,1,
185,,7.4948e-13,0,0,0,1,0,1,1,1,0,0,0,
186,,2.9723e-09,0,0,0,1,0,1,1,1,0,0,1,
187,,3.3136e-09,0,0,0,1,0,1,1,1,0,1,0,
188,,6.6753e-05,0,0,0,1,0,1,1,1,0,1,1,
189,,3.5644e-12,0,0,0,1,0,1,1,1,1,0,0,
190,,4.1968e-13,0,0,0,1,0,1,1,1,1,0,1,
191,,5.815e-13,0,0,0,1,0,1,1,1,1,1,0,
192,,3.7622e-09,0,0,0,1,0,1,1,1,1,1,1,
193,,5.8373e-05,0,0,0,1,1,0,0,0,0,0,0,
194,,5.8438e-08,0,0,0,1,1,0,0,0,0,0,1,
195,,2.709e-09,0,0,0,1,1,0,0,0,0,1,0,
196,,2.7165e-12,0,0,0,1,1,0,0,0,0,1,1,
197,,0.0005401,0,0,0,1,1,0,0,0,1,0,0,
198,,5.4064e-07,0,0,0,1,1,0,0,0,1,0,1,
199,,1.0044e-11,0,0,0,1,1,0,0,0,1,1,0,
200,,1.0177e-14,0,0,0,1,1,0,0,0,1,1,1,
201,,5.8118e-08,0,0,0,1,1,0,0,1,0,0,0,
202,,6.0802e-11,0,0,0,1,1,0,0,1,0,0,1,
203,,2.7212e-12,0,0,0,1,1,0,0,1,0,1,0,
204,,3.7318e-12,0,0,0,1,1,0,0,1,0,1,1,
205,,2.4712e-08,0,0,0,1,1,0,0,1,1,0,0,
206,,2.4737e-11,0,0,0,1,1,0,0,1,1,0,1,
207,,5.6581e-15,0,0,0,1,1,0,0,1,1,1,0,
208,,1.7866e-16,0,0,0,1,1,0,0,1,1,1,1,
209,,5.8434e-08,0,0,0,1,1,0,1,0,0,0,0,
210,,5.2851e-09,0,0,0,1,1,0,1,0,0,0,1,
211,,2.7203e-12,0,0,0,1,1,0,1,0,0,1,0,
212,,1.3145e-11,0,0,0,1,1,0,1,0,0,1,1,
213,,5.4076e-07,0,0,0,1,1,0,1,0,1,0,0,
214,,1.9181e-09,0,0,0,1,1,0,1,0,1,0,1,
215,,1.8115e-14,0,0,0,1,1,0,1,0,1,1,0,
216,,2.1978e-12,0,0,0,1,1,0,1,0,1,1,1,
217,,5.8178e-11,0,0,0,1,1,0,1,1,0,0,0,
218,,4.3835e-13,0,0,0,1,1,0,1,1,0,0,1,
219,,2.9158e-15,0,0,0,1,1,0,1,1,0,1,0,
220,,3.948e-12,0,0,0,1,1,0,1,1,0,1,1,
221,,2.4738e-11,0,0,0,1,1,0,1,1,1,0,0,
222,,3.4181e-13,0,0,0,1,1,0,1,1,1,0,1,
223,,6.1516e-18,0,0,0,1,1,0,1,1,1,1,0,
224,,4.5226e-16,0,0,0,1,1,0,1,1,1,1,1,
225,,5.865e-08,0,0,0,1,1,1,0,0,0,0,0,
226,,1.1654e-10,0,0,0,1,1,1,0,0,0,0,1,
227,,2.725e-12,0,0,0,1,1,1,0,0,0,1,0,
228,,1.1061e-14,0,0,0,1,1,1,0,0,0,1,1,
229,,4.2658e-06,0,0,0,1,1,1,0,0,1,0,0,
230,,4.3759e-09,0,0,0,1,1,1,0,0,1,0,1,
231,,9.057e-12,0,0,0,1,1,1,0,0,1,1,0,
232,,1.1013e-13,0,0,0,1,1,1,0,0,1,1,1,
233,,5.8187e-11,0,0,0,1,1,1,0,1,0,0,0,
234,,2.0344e-13,0,0,0,1,1,1,0,1,0,0,1,
235,,2.7323e-15,0,0,0,1,1,1,0,1,0,1,0,
236,,5.5776e-15,0,0,0,1,1,1,0,1,0,1,1,
237,,3.8741e-11,0,0,0,1,1,1,0,1,1,0,0,
238,,1.8146e-13,0,0,0,1,1,1,0,1,1,0,1,
239,,4.0946e-16,0,0,0,1,1,1,0,1,1,1,0,
240,,1.3341e-17,0,0,0,1,1,1,0,1,1,1,1,
241,,5.8528e-08,0,0,0,1,1,1,1,0,0,0,0,
242,,7.2355e-12,0,0,0,1,1,1,1,0,0,0,1,
243,,1.7383e-10,0,0,0,1,1,1,1,0,0,1,0,
244,,1.2262e-10,0,0,0,1,1,1,1,0,0,1,1,
245,,2.7289e-06,0,0,0,1,1,1,1,0,1,0,0,
246,,4.5709e-09,0,0,0,1,1,1,1,0,1,0,1,
247,,1.3397e-10,0,0,0,1,1,1,1,0,1,1,0,
248,,2.1701e-09,0,0,0,1,1,1,1,0,1,1,1,
249,,5.8259e-11,0,0,0,1,1,1,1,1,0,0,0,
250,,4.7925e-15,0,0,0,1,1,1,1,1,0,0,1,
251,,1.7892e-13,0,0,0,1,1,1,1,1,0,1,0,
252,,4.0508e-11,0,0,0,1,1,1,1,1,0,1,1,
253,,2.5264e-11,0,0,0,1,1,1,1,1,1,0,0,
254,,6.9616e-15,0,0,0,1,1,1,1,1,1,0,1,
255,,2.0686e-15,0,0,0,1,1,1,1,1,1,1,0,
256,,1.3663e-13,0,0,0,1,1,1,1,1,1,1,1,
257,,0.00019766,0,0,1,0,0,0,0,0,0,0,0,
258,,2.262e-07,0,0,1,0,0,0,0,0,0,0,1,
259,,1.9638e-07,0,0,1,0,0,0,0,0,0,1,0,
260,,3.9882e-10,0,0,1,0,0,0,0,0,0,1,1,
261,,7.7729e-05,0,0,1,0,0,0,0,0,1,0,0,
262,,7.7855e-08,0,0,1,0,0,0,0,0,1,0,1,
263,,3.6658e-09,0,0,1,0,0,0,0,0,1,1,0,
264,,3.6835e-12,0,0,1,0,0,0,0,0,1,1,1,
265,,1.9785e-07,0,0,1,0,0,0,0,1,0,0,0,
266,,5.8247e-08,0,0,1,0,0,0,0,1,0,0,1,
267,,2.0682e-10,0,0,1,0,0,0,0,1,0,1,0,
268,,1.9832e-07,0,0,1,0,0,0,0,1,0,1,1,
269,,3.7055e-09,0,0,1,0,0,0,0,1,1,0,0,
270,,6.502e-12,0,0,1,0,0,0,0,1,1,0,1,
271,,3.2975e-13,0,0,1,0,0,0,0,1,1,1,0,
272,,3.8049e-12,0,0,1,0,0,0,0,1,1,1,1,
273,,1.9786e-07,0,0,1,0,0,0,1,0,0,0,0,
274,,6.8912e-10,0,0,1,0,0,0,1,0,0,0,1,
275,,2.0733e-10,0,0,1,0,0,0,1,0,0,1,0,
276,,3.9607e-09,0,0,1,0,0,0,1,0,0,1,1,
277,,7.7811e-08,0,0,1,0,0,0,1,0,1,0,0,
278,,5.4087e-09,0,0,1,0,0,0,1,0,1,0,1,
279,,3.9714e-12,0,0,1,0,0,0,1,0,1,1,0,
280,,1.0082e-10,0,0,1,0,0,0,1,0,1,1,1,
281,,1.9805e-10,0,0,1,0,0,0,1,1,0,0,0,
282,,5.8653e-11,0,0,1,0,0,0,1,1,0,0,1,
283,,8.0398e-13,0,0,1,0,0,0,1,1,0,1,0,
284,,1.3086e-08,0,0,1,0,0,0,1,1,0,1,1,
285,,3.7094e-12,0,0,1,0,0,0,1,1,1,0,0,
286,,2.4403e-13,0,0,1,0,0,0,1,1,1,0,1,
287,,5.3424e-16,0,0,1,0,0,0,1,1,1,1,0,
288,,4.5706e-14,0,0,1,0,0,0,1,1,1,1,1,
289,,3.1235e-07,0,0,1,0,0,1,0,0,0,0,0,
290,,5.3878e-10,0,0,1,0,0,1,0,0,0,0,1,
291,,2.1191e-10,0,0,1,0,0,1,0,0,0,1,0,
292,,5.0622e-12,0,0,1,0,0,1,0,0,0,1,1,
293,,7.9322e-08,0,0,1,0,0,1,0,0,1,0,0,
294,,9.6638e-11,0,0,1,0,0,1,0,0,1,0,1,
295,,3.6628e-12,0,0,1,0,0,1,0,0,1,1,0,
296,,4.3772e-12,0,0,1,0,0,1,0,0,1,1,1,
297,,2.0304e-10,0,0,1,0,0,1,0,1,0,0,0,
298,,5.9711e-11,0,0,1,0,0,1,0,1,0,0,1,
299,,2.2003e-13,0,0,1,0,0,1,0,1,0,1,0,
300,,2.0146e-10,0,0,1,0,0,1,0,1,0,1,1,
301,,3.6807e-12,0,0,1,0,0,1,0,1,1,0,0,
302,,7.7632e-15,0,0,1,0,0,1,0,1,1,0,1,
303,,2.6786e-16,0,0,1,0,0,1,0,1,1,1,0,
304,,4.6199e-15,0,0,1,0,0,1,0,1,1,1,1,
305,,1.1625e-07,0,0,1,0,0,1,1,0,0,0,0,
306,,4.8141e-11,0,0,1,0,0,1,1,0,0,0,1,
307,,2.2567e-07,0,0,1,0,0,1,1,0,0,1,0,
308,,9.6606e-08,0,0,1,0,0,1,1,0,0,1,1,
309,,8.1165e-08,0,0,1,0,0,1,1,0,1,0,0,
310,,9.5835e-08,0,0,1,0,0,1,1,0,1,0,1,
311,,4.8168e-10,0,0,1,0,0,1,1,0,1,1,0,
312,,9.5976e-08,0,0,1,0,0,1,1,0,1,1,1,
313,,5.651e-12,0,0,1,0,0,1,1,1,0,0,0,
314,,6.3953e-13,0,0,1,0,0,1,1,1,0,0,1,
315,,2.8611e-10,0,0,1,0,0,1,1,1,0,1,0,
316,,6.9141e-08,0,0,1,0,0,1,1,1,0,1,1,
317,,3.567e-12,0,0,1,0,0,1,1,1,1,0,0,
318,,1.5026e-13,0,0,1,0,0,1,1,1,1,0,1,
319,,3.2042e-13,0,0,1,0,0,1,1,1,1,1,0,
320,,1.7844e-11,0,0,1,0,0,1,1,1,1,1,1,
321,,5.832e-05,0,0,1,0,1,0,0,0,0,0,0,
322,,5.838e-08,0,0,1,0,1,0,0,0,0,0,1,
323,,2.7065e-09,0,0,1,0,1,0,0,0,0,1,0,
324,,2.7131e-12,0,0,1,0,1,0,0,0,0,1,1,
325,,0.00053961,0,0,1,0,1,0,0,0,1,0,0,
326,,5.4015e-07,0,0,1,0,1,0,0,0,1,0,1,
327,,1.0035e-11,0,0,1,0,1,0,0,0,1,1,0,
328,,1.0053e-14,0,0,1,0,1,0,0,0,1,1,1,
329,,5.8015e-08,0,0,1,0,1,0,0,1,0,0,0,
330,,6.0698e-11,0,0,1,0,1,0,0,1,0,0,1,
331,,2.7164e-12,0,0,1,0,1,0,0,1,0,1,0,
332,,3.7234e-12,0,0,1,0,1,0,0,1,0,1,1,
333,,2.4692e-08,0,0,1,0,1,0,0,1,1,0,0,
334,,2.4717e-11,0,0,1,0,1,0,0,1,1,0,1,
335,,5.648e-15,0,0,1,0,1,0,0,1,1,1,0,
336,,1.7813e-16,0,0,1,0,1,0,0,1,1,1,1,
337,,5.8381e-08,0,0,1,0,1,0,1,0,0,0,0,
338,,5.8589e-11,0,0,1,0,1,0,1,0,0,0,1,
339,,2.7171e-12,0,0,1,0,1,0,1,0,0,1,0,
340,,1.7623e-13,0,0,1,0,1,0,1,0,0,1,1,
341,,5.4027e-07,0,0,1,0,1,0,1,0,1,0,0,
342,,5.6027e-10,0,0,1,0,1,0,1,0,1,0,1,
343,,1.6021e-14,0,0,1,0,1,0,1,0,1,1,0,
344,,9.657e-14,0,0,1,0,1,0,1,0,1,1,1,
